Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4
41000	-4651.745229621555	-4545.565316883006	-106.17991273854898	-4545.565316883006	7.751718732236515	49.38433765325904	35.09056445272658	14.293773200532463	6	13	36	23	0	1.0	2.0141364160493174	0.5104967592918667	1.0	0.2654943808311248	0.9478313636940774	0.24023439309543243	1.0474932327292326	0.003817148891642787	0.2266071422461009	7.447770384559667	0.3782979780537044	0.2245854637627468	0.19049317330248727	0.20662338488106155
42000	-4652.364135236515	-4541.812278396266	-110.55185684024892	-4541.812278396266	7.635162987867248	49.28166613176036	33.8136600321242	15.468006099636163	9	14	34	25	0	1.0	2.0825882557768325	0.7655188915208917	1.0	0.2644725491886838	1.1559678082781188	0.4249112577929214	0.7194955356639713	0.003433446473632199	0.32745872571460366	7.447770384559667	0.3782979780537044	0.2245854637627468	0.19049317330248727	0.20662338488106155
43000	-4644.10809203335	-4538.6973606296515	-105.41073140369836	-4538.6973606296515	7.600675076109404	47.97453750268266	36.41277135134941	11.561766151333254	10	16	35	24	0	1.0	1.9900744469446183	0.7220968961249257	1.0	0.3161950387665278	1.414161094488663	0.5131272041197709	0.8714227554179473	0.003489890288779023	0.32745872571460366	7.716015755855501	0.3782979780537044	0.2245854637627468	0.19049317330248727	0.20662338488106155
44000	-4638.191672391082	-4539.149839636885	-99.0418327541965	-4539.149839636885	7.744504547085359	45.18435877235531	32.26322601743421	12.921132754921103	9	13	33	26	0	1.0	2.291850713738304	0.5875543229870691	1.0	0.4517478840445202	1.447114197895646	0.37099196633216613	1.7621157227022701	0.003509513438788145	0.19572225544930397	7.716015755855501	0.3782979780537044	0.2245854637627468	0.19049317330248727	0.20662338488106155
45000	-4646.891115209091	-4546.911878371773	-99.97923683731811	-4546.911878371773	8.588867212974444	46.635433470658384	32.69575610303517	13.93967736762323	14	19	34	25	0	1.0	2.2512869572054424	0.5208930257635473	1.0	0.47537526844465167	1.4769633618148497	0.34173338588192753	2.054560319863615	0.003852531324548214	0.19572225544930397	7.716015755855501	0.3782979780537044	0.2245854637627468	0.19049317330248727	0.20662338488106155
46000	-4633.622270873405	-4538.957397080735	-94.6648737926702	-4538.957397080735	7.749277225826038	44.22359963150623	28.924579738189593	15.299019893316634	8	11	33	26	1	1.0	2.1395630504922973	0.474619124278178	1.0	0.4325949830303594	0.8331613100980562	0.18482011609342966	1.9501199892181735	0.00371720702363646	0.22028737687073982	7.716015755855501	0.3725469593965663	0.2245854637627468	0.19049317330248727	0.21237440353819964
47000	-4622.322310407361	-4538.465462676621	-83.85684773074028	-4538.465462676621	7.655595318093378	43.47971680799196	31.639110689140846	11.840606118851134	8	12	33	26	0	1.0	1.5184843099441396	0.415424745624116	1.0	0.2613426864929121	0.8691957621936721	0.2377933219607314	0.9552747474441731	0.0035359385441651988	0.22028737687073982	7.394728236909797	0.3679927488524328	0.2245854637627468	0.19049317330248727	0.21692861408233313
48000	-4624.117217798564	-4536.512684621358	-87.60453317720604	-4536.512684621358	7.436322830391074	41.83564251878707	27.139729210758198	14.695913308028874	12	12	30	29	1	1.0	1.4615048998361437	0.3558562803650597	1.0	0.32699069585104074	0.8444080233683339	0.20560170433910743	1.3429536882048785	0.00440360576389186	0.1837225081795331	7.394728236909797	0.3679927488524328	0.2245854637627468	0.19049317330248727	0.21692861408233313
49000	-4625.723023792444	-4532.3760670797055	-93.3469567127384	-4532.3760670797055	7.681511543016309	44.78086077851241	29.211613721760575	15.569247056751827	8	11	32	27	0	1.0	1.5212071721138352	0.4687891787886235	1.0	0.3327331911228547	0.792890474654509	0.2443444136317773	1.0797094720580895	0.003680158219195133	0.1837225081795331	7.611229215682952	0.3679927488524328	0.2245854637627468	0.19049317330248727	0.21692861408233313
50000	-4632.748919180784	-4534.293158066881	-98.45576111390231	-4534.293158066881	7.760106576219665	45.2468766889531	28.3279457975414	16.918930891411705	7	9	31	28	0	1.0	1.7500274178331836	0.4570666316743016	1.0	0.40609251738535956	0.6229637795745697	0.1627037116582949	1.5548565359015145	0.0035479623455020723	0.24230848247617642	7.611229215682952	0.3679927488524328	0.2245854637627468	0.19049317330248727	0.21692861408233313
